0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,cr
0.194,0.173,0.085,0.153,0.049,0.05,0.028,0.112,0.041,0.114,0.889,0.875,0.75,0.857,0.5,0.667,0.125,0.8,0.167,0.833,0.055
0.212,0.168,0.084,0.126,0.048,0.044,0.029,0.122,0.042,0.126,0.9,0.875,0.75,0.833,0.333,0.25,0.125,0.75,0.167,0.857,0.056
0.198,0.179,0.081,0.153,0.048,0.05,0.021,0.118,0.03,0.121,0.9,0.875,0.75,0.833,0.333,0.25,0.125,0.75,0.167,0.857,0.058
0.193,0.176,0.086,0.144,0.048,0.055,0.028,0.113,0.04,0.117,0.889,0.875,0.8,0.833,0.5,0.667,0.125,0.8,0.167,0.833,0.06
0.19,0.173,0.09,0.15,0.051,0.053,0.027,0.109,0.039,0.117,0.889,0.857,0.8,0.833,0.5,0.333,0.111,0.8,0.125,0.833,0.047
0.199,0.177,0.089,0.152,0.05,0.051,0.027,0.106,0.04,0.109,0.889,0.889,0.8,0.857,0.5,0.667,0.125,0.8,0.143,0.833,0.061
0.195,0.168,0.089,0.155,0.051,0.054,0.028,0.106,0.041,0.112,0.889,0.875,0.8,0.857,0.5,0.667,0.111,0.8,0.143,0.833,0.051
0.201,0.163,0.08,0.153,0.052,0.055,0.028,0.112,0.042,0.116,0.889,0.875,0.667,0.857,0.5,0.667,0.125,0.8,0.167,0.833,0.058
0.216,0.164,0.084,0.148,0.05,0.05,0.028,0.105,0.044,0.111,0.9,0.875,0.75,0.857,0.5,0.667,0.125,0.8,0.167,0.833,0.055
0.195,0.176,0.085,0.153,0.048,0.049,0.025,0.11,0.04,0.12,0.889,0.875,0.8,0.857,0.5,0.667,0.111,0.8,0.167,0.833,0.065
0.186,0.18,0.083,0.155,0.05,0.053,0.024,0.111,0.039,0.12,0.889,0.875,0.8,0.857,0.5,0.667,0.111,0.8,0.143,0.833,0.057
0.198,0.17,0.086,0.15,0.05,0.051,0.028,0.112,0.04,0.115,0.9,0.875,0.75,0.833,0.5,0.5,0.111,0.8,0.167,0.833,0.069
